x [mm], y [mm], u [m/s], v [m/s]
1.500000000000000000e+01, -3.500000000000000000e+01, 1.081768035888671875e+01, 9.464076757431030273e-01
2.500000000000000000e+01, -3.500000000000000000e+01, 1.043497657775878906e+01, 1.219962954521179199e+00
3.500000000000000000e+01, -3.500000000000000000e+01, 1.018354606628417969e+01, 1.272161602973937988e+00
4.500000000000000000e+01, -3.500000000000000000e+01, 9.978579521179199219e+00, 1.153263092041015625e+00
5.500000000000000000e+01, -3.500000000000000000e+01, 9.845398902893066406e+00, 9.607322812080383301e-01
6.500000000000000000e+01, -3.500000000000000000e+01, 9.871270179748535156e+00, 8.007726669311523438e-01
7.500000000000000000e+01, -3.500000000000000000e+01, 9.855229377746582031e+00, 6.832121610641479492e-01
8.500000000000000000e+01, -3.500000000000000000e+01, 9.790439605712890625e+00, 5.883646607398986816e-01
9.500000000000000000e+01, -3.500000000000000000e+01, 9.792053222656250000e+00, 4.669131338596343994e-01
1.050000000000000000e+02, -3.500000000000000000e+01, 9.809422492980957031e+00, 3.115068972110748291e-01
1.150000000000000000e+02, -3.500000000000000000e+01, 9.761374473571777344e+00, 1.435896307229995728e-01
1.250000000000000000e+02, -3.500000000000000000e+01, 9.701136589050292969e+00, -2.152408659458160400e-02
1.350000000000000000e+02, -3.500000000000000000e+01, 9.629915237426757812e+00, -1.814860403537750244e-01
1.450000000000000000e+02, -3.500000000000000000e+01, 9.462859153747558594e+00, -3.094726204872131348e-01
1.550000000000000000e+02, -3.500000000000000000e+01, 9.337708473205566406e+00, -3.137705326080322266e-01
1.650000000000000000e+02, -3.500000000000000000e+01, 9.248044967651367188e+00, -2.459067255258560181e-01
1.750000000000000000e+02, -3.500000000000000000e+01, 9.154453277587890625e+00, -2.421733140945434570e-01
1.850000000000000000e+02, -3.500000000000000000e+01, 9.623953819274902344e+00, -3.603069186210632324e-01
1.950000000000000000e+02, -3.500000000000000000e+01, 9.770261764526367188e+00, -3.146305680274963379e-01
-1.950000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -2.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -2.500000000000000000e+01, 1.242067146301269531e+01, 2.516284465789794922e+00
-1.150000000000000000e+02, -2.500000000000000000e+01, 1.236050224304199219e+01, 2.431411743164062500e+00
-1.050000000000000000e+02, -2.500000000000000000e+01, 1.292339038848876953e+01, 1.543434381484985352e+00
-9.500000000000000000e+01, -2.500000000000000000e+01, 1.244072628021240234e+01, 7.597156763076782227e-01
-8.500000000000000000e+01, -2.500000000000000000e+01, 8.851865768432617188e+00, 1.997625827789306641e-02
-7.500000000000000000e+01, -2.500000000000000000e+01, 7.060191631317138672e+00, -3.780545294284820557e-01
-6.500000000000000000e+01, -2.500000000000000000e+01, 6.324787139892578125e+00, -5.857332944869995117e-01
-5.500000000000000000e+01, -2.500000000000000000e+01, 6.676404953002929688e+00, -8.225993514060974121e-01
